Country Name,Indicator Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,Electric power consumption (kWh per capita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Eastern and Southern,Electric power consumption (kWh per capita),481.8694885,515.1854468,538.7785443,564.5630279,584.0458858,604.2140501,608.4442259,626.043267,659.8514808,693.0283768,715.1593122,722.9586463,725.522129,761.3878038,778.3560691,787.4507941,779.833841,786.878738,785.227875,772.930916,753.9299699,722.7354638,721.2941512,722.7391427,733.3060395,812.7949809,824.3329193,786.0145103,763.7064845,773.9795066,737.4134626,762.543066,768.2350392,771.9625006,775.3353596,783.748463,790.6646844,754.2110339,717.7699654,734.3057708,734.8228075,697.6579894,691.9580898,680.1499426
Afghanistan,Electric power consumption (kWh per capita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Western and Central,Electric power consumption (kWh per capita),73.41726398,80.42579864,87.85311632,89.03647429,96.6906061,102.4324448,109.8912809,105.9657563,113.2450143,119.5252221,112.1400409,129.6023343,110.2906842,88.95714232,109.6192963,125.0572324,128.5344857,129.3812808,133.8169735,129.3496668,130.7151205,133.0318323,136.674996,131.4432124,132.8363373,130.5807617,132.3792471,119.2696822,125.539054,115.9705296,118.1559735,132.5799801,122.647806,137.33014,143.5521397,143.1173431,156.3012098,152.3817418,150.6239014,162.6672696,172.5106038,182.7221635,178.4224043,183.4402065
Angola,Electric power consumption (kWh per capita),90.01061834,98.66874185,112.188233,135.5385245,139.2065907,60.41190183,58.44064647,56.48779722,58.68297987,60.74395499,58.62277944,60.35440104,63.27676405,52.19542049,60.57797202,58.45590847,56.76049791,55.24281932,53.67368393,53.26056981,54.54385919,53.59189589,52.15415849,50.80956952,49.38093061,51.17027674,69.32888696,73.2745471,71.89324917,75.27115611,82.63688638,86.03494183,95.83796201,87.47477842,109.1977007,144.6260702,133.2396989,172.4175925,189.3132094,206.3842586,206.6852326,218.5539218,278.808255,310.0816685
Albania,Electric power consumption (kWh per capita),532.0284315,568.4032016,593.4467457,591.0326434,739.3450933,908.6745473,1067.814156,1098.483166,1065.767398,1142.965355,1123.968106,1096.873229,1070.690164,1018.100288,796.3539738,1420.614795,1161.951677,1005.93953,1021.3935,552.2521848,418.453589,453.6440739,536.3638251,596.4079593,663.7839954,904.3466403,694.6648028,734.8499135,1414.703784,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503
Andorra,Electric power consumption (kWh per capita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,Electric power consumption (kWh per capita),196.199517,210.7603975,229.8772587,253.917544,280.3657589,321.0236324,362.3750008,418.7032997,505.2966255,565.1719313,610.4957547,698.0277866,752.8471417,837.1786643,864.2871529,940.4750504,978.0349289,1014.956543,1035.351865,1056.337317,1026.371021,1121.330908,1187.412963,1219.722767,1244.922015,1281.519288,1323.272799,1412.682971,1461.552638,1491.965863,1552.438738,1618.80747,1688.369214,1735.715814,1808.906369,1904.01982,1953.209551,2013.223863,2065.782064,2237.153327,2275.266995,2315.981354,2369.437907,2440.349651
United Arab Emirates,Electric power consumption (kWh per capita),548.6004882,1108.653101,1519.660466,1782.683376,2342.68321,2938.892209,3887.610152,4347.820687,5109.791161,5783.749882,6099.001981,7098.477895,7620.566723,7819.122225,8090.40141,8113.994922,8059.475515,8196.920913,7928.721314,8179.876231,7862.046233,8036.457268,8894.050423,9274.271111,9329.955612,9388.452367,9655.444648,10817.38916,11700.16558,11782.92406,11601.53529,11969.76598,12036.8916,12184.28989,13161.19882,12651.06796,12029.54591,11457.091,10518.79703,10695.28993,10732.80464,10988.96026,11271.10654,11562.98852
Argentina,Electric power consumption (kWh per capita),875.7655156,926.8350436,963.6464179,993.7227684,1011.611035,1031.484782,1079.630064,1089.989984,1212.182336,1237.939121,1192.008018,1203.308315,1254.24067,1296.652741,1285.860468,1328.234909,1412.396213,1451.304846,1319.632805,1303.218549,1346.502722,1408.740423,1494.390964,1572.834183,1643.330259,1721.138686,1839.821682,1958.038754,2023.461579,2077.539573,2108.990402,2003.667517,2169.487544,2282.822563,2397.486533,2362.853106,2443.844135,2759.51327,2716.598215,2877.652653,2929.075029,3000.603523,2967.376558,3074.702071
